,location,date,total_cases,new_cases,total_deaths,new_deaths
13286,Japan,2019-12-31,0.0,0.0,0.0,0.0
13287,Japan,2020-01-01,0.0,0.0,0.0,0.0
13288,Japan,2020-01-02,0.0,0.0,0.0,0.0
13289,Japan,2020-01-03,0.0,0.0,0.0,0.0
13290,Japan,2020-01-04,0.0,0.0,0.0,0.0
13291,Japan,2020-01-05,0.0,0.0,0.0,0.0
13292,Japan,2020-01-06,0.0,0.0,0.0,0.0
13293,Japan,2020-01-07,0.0,0.0,0.0,0.0
13294,Japan,2020-01-08,0.0,0.0,0.0,0.0
13295,Japan,2020-01-09,0.0,0.0,0.0,0.0
13296,Japan,2020-01-10,0.0,0.0,0.0,0.0
13297,Japan,2020-01-11,0.0,0.0,0.0,0.0
13298,Japan,2020-01-12,0.0,0.0,0.0,0.0
13299,Japan,2020-01-13,0.0,0.0,0.0,0.0
13300,Japan,2020-01-14,0.0,0.0,0.0,0.0
13301,Japan,2020-01-15,1.0,1.0,0.0,0.0
13302,Japan,2020-01-16,1.0,0.0,0.0,0.0
13303,Japan,2020-01-17,1.0,0.0,0.0,0.0
13304,Japan,2020-01-18,1.0,0.0,0.0,0.0
13305,Japan,2020-01-19,1.0,0.0,0.0,0.0
13306,Japan,2020-01-20,1.0,0.0,0.0,0.0
13307,Japan,2020-01-21,1.0,0.0,0.0,0.0
13308,Japan,2020-01-22,1.0,0.0,0.0,0.0
13309,Japan,2020-01-23,1.0,0.0,0.0,0.0
13310,Japan,2020-01-24,2.0,1.0,0.0,0.0
13311,Japan,2020-01-25,2.0,0.0,0.0,0.0
13312,Japan,2020-01-26,3.0,1.0,0.0,0.0
13313,Japan,2020-01-27,3.0,0.0,0.0,0.0
13314,Japan,2020-01-28,4.0,1.0,0.0,0.0
13315,Japan,2020-01-29,7.0,3.0,0.0,0.0
13316,Japan,2020-01-30,11.0,4.0,0.0,0.0
13317,Japan,2020-01-31,14.0,3.0,0.0,0.0
13318,Japan,2020-02-01,15.0,1.0,0.0,0.0
13319,Japan,2020-02-02,19.0,4.0,0.0,0.0
13320,Japan,2020-02-03,20.0,1.0,0.0,0.0
13321,Japan,2020-02-04,20.0,0.0,0.0,0.0
13322,Japan,2020-02-05,25.0,5.0,0.0,0.0
13323,Japan,2020-02-06,25.0,0.0,0.0,0.0
13324,Japan,2020-02-07,25.0,0.0,0.0,0.0
13325,Japan,2020-02-08,25.0,0.0,0.0,0.0
13326,Japan,2020-02-09,25.0,0.0,0.0,0.0
13327,Japan,2020-02-10,25.0,0.0,0.0,0.0
