,location,date,total_cases,new_cases,total_deaths,new_deaths
26500,United Kingdom,2019-12-31,0.0,0.0,0.0,0.0
26501,United Kingdom,2020-01-01,0.0,0.0,0.0,0.0
26502,United Kingdom,2020-01-02,0.0,0.0,0.0,0.0
26503,United Kingdom,2020-01-03,0.0,0.0,0.0,0.0
26504,United Kingdom,2020-01-04,0.0,0.0,0.0,0.0
26505,United Kingdom,2020-01-05,0.0,0.0,0.0,0.0
26506,United Kingdom,2020-01-06,0.0,0.0,0.0,0.0
26507,United Kingdom,2020-01-07,0.0,0.0,0.0,0.0
26508,United Kingdom,2020-01-08,0.0,0.0,0.0,0.0
26509,United Kingdom,2020-01-09,0.0,0.0,0.0,0.0
26510,United Kingdom,2020-01-10,0.0,0.0,0.0,0.0
26511,United Kingdom,2020-01-11,0.0,0.0,0.0,0.0
26512,United Kingdom,2020-01-12,0.0,0.0,0.0,0.0
26513,United Kingdom,2020-01-13,0.0,0.0,0.0,0.0
26514,United Kingdom,2020-01-14,0.0,0.0,0.0,0.0
26515,United Kingdom,2020-01-15,0.0,0.0,0.0,0.0
26516,United Kingdom,2020-01-16,0.0,0.0,0.0,0.0
26517,United Kingdom,2020-01-17,0.0,0.0,0.0,0.0
26518,United Kingdom,2020-01-18,0.0,0.0,0.0,0.0
26519,United Kingdom,2020-01-19,0.0,0.0,0.0,0.0
26520,United Kingdom,2020-01-20,0.0,0.0,0.0,0.0
26521,United Kingdom,2020-01-21,0.0,0.0,0.0,0.0
26522,United Kingdom,2020-01-22,0.0,0.0,0.0,0.0
26523,United Kingdom,2020-01-23,0.0,0.0,0.0,0.0
26524,United Kingdom,2020-01-24,0.0,0.0,0.0,0.0
26525,United Kingdom,2020-01-25,0.0,0.0,0.0,0.0
26526,United Kingdom,2020-01-26,0.0,0.0,0.0,0.0
26527,United Kingdom,2020-01-27,0.0,0.0,0.0,0.0
26528,United Kingdom,2020-01-28,0.0,0.0,0.0,0.0
26529,United Kingdom,2020-01-29,0.0,0.0,0.0,0.0
26530,United Kingdom,2020-01-30,0.0,0.0,0.0,0.0
26531,United Kingdom,2020-01-31,2.0,2.0,0.0,0.0
26532,United Kingdom,2020-02-01,2.0,0.0,0.0,0.0
